,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
35,1291522709130579968,1291161112302571526,1596757983000,2020-08-07,06:53:03,SE Asia Standard Time,1158178388231639040,sav_riz,Rizky,,"awal tahun ini, banjir jakarta paling parah. lu mana tahu rasanya, kan enggak tinggal di sana😂😃","['raif_mudzaki', 'iqbalkartawija1', 'onecak']",[],[],1,0,0,[],[],https://twitter.com/Sav_riz/status/1291522709130579968,False,,0,,,,,,,"[{'user_id': '1158178388231639040', 'username': 'Sav_riz'}, {'user_id': '949208297399205888', 'username': 'Raif_mudzaki'}, {'user_id': '1087013050941505537', 'username': 'IqbalKartawija1'}, {'user_id': '491057617', 'username': 'onecak'}]",,,,
36,1291435472544100353,1291435472544100353,1596737185000,2020-08-07,01:06:25,SE Asia Standard Time,880419778401153024,czein_,Citra Zein,,kaya gini di jakarta bad news alias dalam 5 jam akan banjir  https://twitter.com/leariellesimone/status/1290704394040807425 …,[],['https://twitter.com/LeArielleSimone/status/1290704394040807425'],[],0,0,1,[],[],https://twitter.com/czein_/status/1291435472544100353,False,https://twitter.com/LeArielleSimone/status/1290704394040807425,0,,,,,,,"[{'user_id': '880419778401153024', 'username': 'czein_'}]",,,,
37,1291421789466189826,1291421789466189826,1596733922000,2020-08-07,00:12:02,SE Asia Standard Time,456426648,merdekadotcom,Merdeka.com,,hujan serta angin kencang diprediksi guyur jakarta pada 7-8 agustus: ia juga mengimbau seluruh perangkat desa seperti camat dan lurah menyiagakan ppsu dan satgas banjir sebagai antisipasi banjir.  http://dlvr.it/rd7tpt ,[],['http://dlvr.it/Rd7Tpt'],[],0,0,2,[],[],https://twitter.com/merdekadotcom/status/1291421789466189826,False,,0,,,,,,,"[{'user_id': '456426648', 'username': 'merdekadotcom'}]",,,,
38,1291405668642037761,1291405668642037761,1596730079000,2020-08-06,23:07:59,SE Asia Standard Time,3189327655,demokrasicoid,DEMOKRASI News,,"dinas sda usulkan anggaran rp 5,2 triliun untuk pencegahan banjir jakarta - follow @demokrasicoid https://www.demokrasi.co.id/2020/08/dinas-sda-usulkan-anggaran-rp-52.html …",['demokrasicoid'],['https://www.demokrasi.co.id/2020/08/dinas-sda-usulkan-anggaran-rp-52.html'],[],0,0,0,[],[],https://twitter.com/demokrasicoid/status/1291405668642037761,False,,0,,,,,,,"[{'user_id': '3189327655', 'username': 'demokrasicoid'}]",,,,
39,1291400262398033920,1206888871004270593,1596728790000,2020-08-06,22:46:30,SE Asia Standard Time,1285165523907403777,sagulung3,Sagulung,,jakarta tidak akan banjir klo si nganu jadi presiden 🤣,['pppanggah'],[],[],0,0,0,[],[],https://twitter.com/Sagulung3/status/1291400262398033920,False,,0,,,,,,,"[{'user_id': '1285165523907403777', 'username': 'Sagulung3'}, {'user_id': '1190624257417437185', 'username': 'PpPanggah'}]",,,,
40,1291399257233055744,1291399257233055744,1596728550000,2020-08-06,22:42:30,SE Asia Standard Time,1107248688391286784,basmikadrun,Pemburu Kadrun PKI (Pengusung Khilafah Indonesia),,"warga dki mulailah waspada potensi hujan angin akan segera datang. tapi jangan khawatir, sungai2 dan got2 sudah dikeruk dan hasil kerukan dibuang kepantai ancol untuk perluasan daratan, so jangan santai aja soal banjir, jakarta sudah bebas banjir kok. dah itu aj.. 🙏  https://twitter.com/cnnindonesia/status/1291397450276597763 …",[],['https://twitter.com/CNNIndonesia/status/1291397450276597763'],[],0,0,0,[],[],https://twitter.com/BasmiKadrun/status/1291399257233055744,False,https://twitter.com/CNNIndonesia/status/1291397450276597763,0,,,,,,,"[{'user_id': '1107248688391286784', 'username': 'BasmiKadrun'}]",,,,
41,1291396693036953601,1291396693036953601,1596727939000,2020-08-06,22:32:19,SE Asia Standard Time,1147078543605522434,noersyeha,akhmad,,"tangani banjir, penataan ruang jabodetabek-punjur dilakukan | republika online
 https://republika.co.id/share/qemerx330 
#jabodetabekpunjur #tataruang #mutualan #jakbar #jakarta #menteri #dkijakarta #bekasi",[],['https://republika.co.id/share/qemerx330'],[],0,0,0,"['#jabodetabekpunjur', '#tataruang', '#mutualan', '#jakbar', '#jakarta', '#menteri', '#dkijakarta', '#bekasi']",[],https://twitter.com/noersyeha/status/1291396693036953601,False,,0,,,,,,,"[{'user_id': '1147078543605522434', 'username': 'noersyeha'}]",,,,
42,1291395257410523136,1291089278496202752,1596727596000,2020-08-06,22:26:36,SE Asia Standard Time,1289976242205155329,alvitoxic,alvito malik,,"nangis mulu, bapak anies bingung jakarta banjir tangisan lu",['arkanrafasya'],[],[],1,0,0,[],[],https://twitter.com/alvitoxic/status/1291395257410523136,False,,0,,,,,,,"[{'user_id': '1289976242205155329', 'username': 'alvitoxic'}, {'user_id': '1224629703362764800', 'username': 'Arkanrafasya'}]",,,,
43,1291374964566667266,1291374964566667266,1596722758000,2020-08-06,21:05:58,SE Asia Standard Time,2415369318,kanwilbpndkijkt,Kanwil BPN DKI Jakarta,,"#repost @atr_bpn menteri atr/bpn didampingi direktur jenderal pengendalian dan penertiban tanah dan ruang serta direktur sungai dan pantai direktorat sda kementerian pupr melakukan pemasangan plang peringatan banjir di kelurahan tegal alur, jakarta barat, rabu (05/08/2020)  pic.twitter.com/eptquvnpgt",['atr_bpn'],[],"['https://pbs.twimg.com/media/EevirG3UwAAigM-.jpg', 'https://pbs.twimg.com/media/EevirG5UEAAfRWH.jpg', 'https://pbs.twimg.com/media/EevirG2U0AIAJK3.jpg', 'https://pbs.twimg.com/media/EevirG4UEAA-I8X.jpg']",0,1,6,['#repost'],[],https://twitter.com/KanwilBPNDKIJkt/status/1291374964566667266,False,,0,,,,,,,"[{'user_id': '2415369318', 'username': 'KanwilBPNDKIJkt'}, {'user_id': '2884911432', 'username': 'atr_bpn'}]",,,,
44,1291371031114940416,1291371031114940416,1596721820000,2020-08-06,20:50:20,SE Asia Standard Time,1243431151961649152,kamalkelurahan,Kelurahan Kamal,,"dalam rangka peresmian plang peringatan banjir dan dialog melalui video confrence bersama mentri atr/kepala bpn. 

mentri pupr dan gubernur dki jakarta kelurahan bersama aparatur wilayah mengikuti kegiatan tersebut…  https://www.instagram.com/p/cdjnaomlaxg/?igshid=1k6sfsjimbgi5 …",[],['https://www.instagram.com/p/CDjNaoMlaXG/?igshid=1k6sfsjimbgi5'],[],0,0,0,[],[],https://twitter.com/KamalKelurahan/status/1291371031114940416,False,,0,,,,,,,"[{'user_id': '1243431151961649152', 'username': 'KamalKelurahan'}]",,,,
